Gene,IG,GainRatio,Gini,Relief,Cumulative_Weight
BraA07g001250,0.7403296795341252,0.7342556330578061,0.8101794585825818,0.6186013845517819,2.903366155726295
BraA06g000620,0.753487368099592,0.7342556330578061,0.8125596534592892,0.5922813192493316,2.892583973866019
BraA05g027310,0.7403296795341252,0.7342556330578061,0.8101794585825818,0.6018323174071584,2.8865970885816714
BraA03g015850,0.7403296795341252,0.7342556330578061,0.8101794585825818,0.5928473311531312,2.877612102327644
BraA05g005160,0.753487368099592,0.7242105351257173,0.8125596534592892,0.5855727884694132,2.8758303451540117
BraA03g028290,0.753487368099592,0.7242105351257173,0.8125596534592892,0.5793679552133464,2.8696255118979446
BraA03g024830,0.7403296795341252,0.7342556330578061,0.8101794585825818,0.5717768071971938,2.856541578371707
BraA01g031110,0.7403296795341252,0.7342556330578061,0.8101794585825818,0.5663747753935708,2.851139546568084
BraA07g028410,0.753487368099592,0.7242105351257173,0.8125596534592892,0.5326247052060363,2.822882261890635
BraA10g001470,0.753487368099592,0.7242105351257173,0.8125596534592892,0.5200716249588654,2.8103291816434637
BraA10g032430,0.753487368099592,0.7242105351257173,0.8125596534592892,0.48410371635478866,2.774361273039387
BraA05g043120,0.7403296795341252,0.7342556330578061,0.8101794585825818,0.4833579321411487,2.7681227033156617
BraA01g008720,0.7033360392356179,0.6777839286782366,0.8054537967005442,0.546857992579303,2.7334317571937015
BraA03g017860,0.7403296795341252,0.7342556330578061,0.8101794585825818,0.430206036444989,2.714970807619502
BraA10g008740,0.6502306106108183,0.6457076813925037,0.7231783770995974,0.6820155384284198,2.701132207531339
BraA01g040050,0.7033360392356179,0.6777839286782366,0.8054537967005442,0.4880232132383255,2.674596977852724
BraA08g012650,0.5987807212953339,0.5704083958342289,0.7137270423810732,0.6927928824858225,2.5757090419964586
BraA08g010090,0.669660015303113,0.6328242674761868,0.7282114975159688,0.5221459856042445,2.552841765899513
BraA09g000920,0.6502306106108183,0.6457076813925037,0.7231783770995974,0.5005455294779821,2.5196621985809013
BraA10g026290,0.6502306106108183,0.6457076813925037,0.7231783770995974,0.49125251790973407,2.510369187012653
BraA03g061930,0.669660015303113,0.6328242674761868,0.7282114975159688,0.4750087220502953,2.505704502345564
